Name,Low IP,High IP,Malware Type,Confidence,Severity,ASN,Org,Country,Description,Last Seen
148.251.238.52,148.251.238.52,148.251.238.52,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
149.202.179.100,149.202.179.100,149.202.179.100,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
149.210.181.82,149.210.181.82,149.210.181.82,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
149.28.99.97,149.28.99.97,149.28.99.97,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
153.126.165.175,153.126.165.175,153.126.165.175,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
155.138.203.91,155.138.203.91,155.138.203.91,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
156.67.220.186,156.67.220.186,156.67.220.186,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
157.119.215.186,157.119.215.186,157.119.215.186,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
157.245.222.44,157.245.222.44,157.245.222.44,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
158.69.118.130,158.69.118.130,158.69.118.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
159.2.51.200,159.2.51.200,159.2.51.200,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
159.224.167.102,159.224.167.102,159.224.167.102,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
159.65.3.147,159.65.3.147,159.65.3.147,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
162.13.114.59,162.13.114.59,162.13.114.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
162.214.106.107,162.214.106.107,162.214.106.107,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
162.214.127.16,162.214.127.16,162.214.127.16,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
162.214.188.105,162.214.188.105,162.214.188.105,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
162.241.41.92,162.241.41.92,162.241.41.92,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
165.73.90.187,165.73.90.187,165.73.90.187,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.172.119.42,167.172.119.42,167.172.119.42,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.248.100.227,167.248.100.227,167.248.100.227,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.248.111.245,167.248.111.245,167.248.111.245,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.248.117.81,167.248.117.81,167.248.117.81,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.248.126.223,167.248.126.223,167.248.126.223,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.248.23.224,167.248.23.224,167.248.23.224,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.248.81.60,167.248.81.60,167.248.81.60,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.248.99.149,167.248.99.149,167.248.99.149,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
167.71.232.57,167.71.232.57,167.71.232.57,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
169.255.57.61,169.255.57.61,169.255.57.61,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
170.238.117.187,170.238.117.187,170.238.117.187,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
172.104.58.76,172.104.58.76,172.104.58.76,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
173.21.10.71,173.21.10.71,173.21.10.71,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
173.22.178.66,173.22.178.66,173.22.178.66,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
173.25.162.221,173.25.162.221,173.25.162.221,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
173.25.166.81,173.25.166.81,173.25.166.81,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
174.54.193.186,174.54.193.186,174.54.193.186,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
174.54.58.170,174.54.58.170,174.54.58.170,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
174.59.35.191,174.59.35.191,174.59.35.191,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
174.76.17.43,174.76.17.43,174.76.17.43,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist,10/29/2021
