Name,Low IP,High IP,Malware Type,Confidence,Severity,ASN,Org,Country,Description,Last Seen
148.235.154.164,148.235.154.164,148.235.154.164,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
148.251.238.52,148.251.238.52,148.251.238.52,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
149.202.179.100,149.202.179.100,149.202.179.100,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
153.126.165.175,153.126.165.175,153.126.165.175,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
155.138.203.91,155.138.203.91,155.138.203.91,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
157.245.222.44,157.245.222.44,157.245.222.44,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
158.69.118.130,158.69.118.130,158.69.118.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
159.224.167.102,159.224.167.102,159.224.167.102,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
159.65.3.147,159.65.3.147,159.65.3.147,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
162.214.106.107,162.214.106.107,162.214.106.107,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
162.214.127.16,162.214.127.16,162.214.127.16,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
162.214.188.105,162.214.188.105,162.214.188.105,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
167.172.119.42,167.172.119.42,167.172.119.42,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
170.238.117.187,170.238.117.187,170.238.117.187,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
173.21.10.71,173.21.10.71,173.21.10.71,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
176.100.4.31,176.100.4.31,176.100.4.31,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
176.28.17.160,176.28.17.160,176.28.17.160,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
177.75.5.222,177.75.5.222,177.75.5.222,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
177.87.0.7,177.87.0.7,177.87.0.7,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.128.197.110,178.128.197.110,178.128.197.110,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.128.23.9,178.128.23.9,178.128.23.9,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.128.83.165,178.128.83.165,178.128.83.165,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.238.236.59,178.238.236.59,178.238.236.59,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.254.33.197,178.254.33.197,178.254.33.197,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.33.123.234,178.33.123.234,178.33.123.234,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.33.13.40,178.33.13.40,178.33.13.40,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.62.205.130,178.62.205.130,178.62.205.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.79.147.66,178.79.147.66,178.79.147.66,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
178.79.150.86,178.79.150.86,178.79.150.86,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
179.189.229.254,179.189.229.254,179.189.229.254,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
18.195.23.231,18.195.23.231,18.195.23.231,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
181.129.167.82,181.129.167.82,181.129.167.82,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
181.143.251.154,181.143.251.154,181.143.251.154,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
182.253.106.35,182.253.106.35,182.253.106.35,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
182.253.210.130,182.253.210.130,182.253.210.130,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
185.122.58.89,185.122.58.89,185.122.58.89,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
185.148.168.220,185.148.168.220,185.148.168.220,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
185.148.168.25,185.148.168.25,185.148.168.25,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
185.164.32.148,185.164.32.148,185.164.32.148,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
185.168.130.138,185.168.130.138,185.168.130.138,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
185.56.219.47,185.56.219.47,185.56.219.47,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
185.94.172.15,185.94.172.15,185.94.172.15,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
186.250.48.123,186.250.48.123,186.250.48.123,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
186.4.193.75,186.4.193.75,186.4.193.75,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
188.40.100.254,188.40.100.254,188.40.100.254,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
190.109.204.126,190.109.204.126,190.109.204.126,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
190.145.83.98,190.145.83.98,190.145.83.98,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
190.183.237.119,190.183.237.119,190.183.237.119,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
190.197.55.254,190.197.55.254,190.197.55.254,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
192.46.210.220,192.46.210.220,192.46.210.220,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
192.99.150.39,192.99.150.39,192.99.150.39,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
194.1.193.11,194.1.193.11,194.1.193.11,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
195.210.28.115,195.210.28.115,195.210.28.115,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
195.9.84.106,195.9.84.106,195.9.84.106,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
196.207.140.40,196.207.140.40,196.207.140.40,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
198.199.98.78,198.199.98.78,198.199.98.78,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
201.148.20.37,201.148.20.37,201.148.20.37,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
204.174.223.210,204.174.223.210,204.174.223.210,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
207.148.81.119,207.148.81.119,207.148.81.119,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
207.154.208.93,207.154.208.93,207.154.208.93,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
207.180.220.242,207.180.220.242,207.180.220.242,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
207.246.112.221,207.246.112.221,207.246.112.221,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
207.38.84.195,207.38.84.195,207.38.84.195,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
209.50.20.255,209.50.20.255,209.50.20.255,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
211.172.241.52,211.172.241.52,211.172.241.52,Botnet C2, , , , , ,abuse.ch Feodo Tracker Botnet C2 IP Blocklist (recommended),10/29/2021
